participant_id	trial	speed	response_time	correct
sfaritest nodataupload	0	18.33333	0.5326958	1
sfaritest nodataupload	1	18.33333	0.4523239	1
sfaritest nodataupload	2	18.33333	0.4879303	1
sfaritest nodataupload	3	11.66667	0.568222	1
sfaritest nodataupload	4	11.66667	0.6167679	1
sfaritest nodataupload	5	11.66667	0.5362701	1
sfaritest nodataupload	6	20.1189	0.4519882	1
sfaritest nodataupload	7	20.1189	0.3805084	1
sfaritest nodataupload	8	20.1189	0.4482117	1
sfaritest nodataupload	9	22.04631	0.3839417	1
sfaritest nodataupload	10	22.04631	0.3333511	1
sfaritest nodataupload	11	22.04631	0.3327255	1
sfaritest nodataupload	12	25	0.3842239	1
sfaritest nodataupload	13	25	0.4050903	1
sfaritest nodataupload	14	25	0.3683167	1
sfaritest nodataupload	15	24.97497	0.3677521	1
sfaritest nodataupload	16	24.97497	0.3494797	1
sfaritest nodataupload	17	24.97497	0.4158325	1
sfaritest nodataupload	19	24.97497	NaN	0
NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN
